seed,sample_index,initial_range_m,initial_closing_speed_mps,camera_azimuth_deg,camera_elevation_deg,camera_u_fraction,camera_v_fraction,image_plane_bucket,camera_elevation_bucket,camera_azimuth_bucket,ivbs_caught,beihang_caught,outcome_class,ivbs_min_distance_m,beihang_min_distance_m,ivbs_visible_fraction,beihang_visible_fraction,ivbs_control_effort,beihang_control_effort,visibility_bucket,closing_bucket
392,391,19.99999970849772,0.4380735709698684,191.3745453835235,3.761198268440288,-0.2583916177012286,-0.8413173452101279,edge,level,rear_left,False,False,shared_miss,10.338312149047852,6.241390228271484,0.15,0.056666666666666664,2.4922933490806978,6.8732481142078266,03_ge_0.10,01_0.35_0.45
393,392,20.000000311348778,0.4713383902652158,284.11412899876785,-6.4597382862650985,0.2948190077168049,0.33940021524219843,center,level,front_left,False,False,shared_miss,9.306422233581543,3.9630682468414307,0.135,0.041666666666666664,7.398366423739746,6.751837659648008,03_ge_0.10,02_ge_0.45
394,393,19.99999943193672,0.41661036537453666,12.801706834613345,39.73536286361962,-0.6397818941823366,-0.3052942733180485,mid,up,front_right,False,False,shared_miss,19.984203338623047,12.511983871459961,0.06333333333333334,0.06833333333333333,4.470552540015088,7.868107717285097,02_0.05_0.10,01_0.35_0.45
395,394,20.00000010966062,0.4961954481338058,63.664207666869245,-23.092265147614228,-0.0014961773057165896,-0.21488202926198052,center,level,front_right,False,False,shared_miss,6.582909107208252,3.807291269302368,0.09666666666666666,0.05333333333333334,8.524305467528476,9.41843218768299,02_0.05_0.10,02_ge_0.45
396,395,19.999999941959185,0.38854051248518373,335.1636032906815,58.81213754437333,0.8096320436116469,0.03960229788618557,edge,up,front_left,False,False,shared_miss,19.988298416137695,19.98829460144043,0.06333333333333334,0.055,5.919438650547802,7.328804533820293,02_0.05_0.10,01_0.35_0.45
397,396,20.000000470756046,0.36633208260436906,242.27810332383166,-57.13407868929282,-0.8891242210049374,-0.46591960223764384,edge,down,rear_left,False,False,shared_miss,12.132343292236328,4.8569512367248535,0.105,0.04833333333333333,5.845338820958202,8.156235881088232,03_ge_0.10,01_0.35_0.45
398,397,20.000000366697897,0.46815332703209056,156.59081741414715,24.07499478851938,0.09425426686132964,0.628798913877824,mid,level,rear_right,False,False,shared_miss,19.968050003051758,8.80717945098877,0.03833333333333333,0.045,3.0057332288734844,6.2572582891558834,01_0.02_0.05,02_ge_0.45
399,398,19.99999993072393,0.39500062654132023,166.5075252659542,-10.703666198869069,-0.768667428494964,0.18535860500496837,edge,level,rear_right,False,False,shared_miss,9.745920181274414,4.040339469909668,0.15,0.041666666666666664,5.201970096578104,7.0725435132556855,03_ge_0.10,01_0.35_0.45
400,399,20.00000056623401,1.6803578915593125,22.748580005923618,21.432516969867052,-0.6426263551133843,-0.10480280218808515,mid,level,front_right,False,False,shared_miss,14.060260772705078,6.967685699462891,0.075,0.04666666666666667,4.703331355769829,7.033119807892558,02_0.05_0.10,02_ge_0.45
401,400,19.99999981461067,1.8179872843023324,278.9227587386697,-19.772266292919355,0.18681628509297524,0.7253107287437661,edge,level,front_left,False,False,shared_miss,7.190902233123779,2.73239803314209,0.15,0.03166666666666667,7.291665806491472,8.897687816815381,03_ge_0.10,02_ge_0.45
402,401,19.99999987332735,1.8732984680609426,241.632341415479,40.89016522973001,-0.1560422034515668,-0.5886332936382885,mid,up,rear_left,False,False,shared_miss,19.718196868896484,6.276101589202881,0.07166666666666667,0.06833333333333333,4.727563237913695,8.76700863611492,02_0.05_0.10,02_ge_0.45
403,402,20.0000001536436,1.668284855597857,176.69734838867228,-42.370359809993076,0.6171506137966933,0.41109447455645126,mid,down,rear_right,False,False,shared_miss,6.396494388580322,4.670310974121094,0.14333333333333334,0.043333333333333335,4.737464167902233,8.353914817373223,03_ge_0.10,02_ge_0.45
404,403,19.99999945104549,1.82019203670863,132.74525691107678,60.312255533806336,0.44449961240423913,0.17101708037383317,mid,up,rear_right,False,False,shared_miss,19.778688430786133,19.776811599731445,0.06666666666666667,0.06333333333333334,5.9948651108786155,7.474141842694277,02_0.05_0.10,02_ge_0.45
405,404,20.00000023799812,1.411753649699402,191.34130551427089,-56.49603471536923,-0.8912979466229066,-0.7985558584837347,edge,down,rear_left,False,False,shared_miss,14.188063621520996,9.549538612365723,0.065,0.043333333333333335,14.419627670351725,6.975515637592858,02_0.05_0.10,02_ge_0.45
406,405,20.000000472034934,1.5226060048484564,322.88326413484697,8.191934876626984,0.8043021808852888,0.4852169719042186,edge,level,front_left,False,False,shared_miss,12.753275871276855,5.8486809730529785,0.085,0.035,5.791359632908154,6.345240969395511,02_0.05_0.10,02_ge_0.45
407,406,19.999999790256084,1.8532838018497177,73.02639759911169,-10.672270971837833,-0.3627455584339726,-0.3147089916733966,mid,level,front_right,False,False,shared_miss,6.447576999664307,3.928353786468506,0.14166666666666666,0.05333333333333334,5.975112417912106,9.543326640294788,03_ge_0.10,02_ge_0.45
408,407,19.99999911042719,1.542128498406026,57.45088737576944,35.69904836351503,0.6996979358388541,-0.75972708542707,edge,up,front_right,False,False,shared_miss,16.291587829589844,10.537199974060059,0.07333333333333333,0.065,5.036706454853631,7.786650869401981,02_0.05_0.10,02_ge_0.45
409,408,20.00000022392389,1.9432246689048964,358.15179536769597,-38.23622110282314,-0.2423497480422997,0.040781666630978194,center,down,front_left,False,False,shared_miss,3.328834295272827,2.7304229736328125,0.10666666666666667,0.10166666666666667,10.578825304475837,9.92091005952113,03_ge_0.10,02_ge_0.45
410,409,20.000000225771714,1.8661269166352625,206.9168143181026,25.81787138523843,0.3293490224441421,-0.3470698891702951,center,level,rear_left,False,False,shared_miss,15.676619529724121,5.514141082763672,0.07833333333333334,0.07,3.9779174279226996,7.447619303267965,02_0.05_0.10,02_ge_0.45
411,410,20.00000067141232,1.5161710296337538,97.47672177575109,-23.099005177430982,-0.7814485311296024,0.6230462902004711,edge,level,rear_right,False,False,shared_miss,9.800628662109375,3.1190505027770996,0.15,0.051666666666666666,3.500858850152439,8.09458527598723,03_ge_0.10,02_ge_0.45
412,411,19.999999983706612,1.7879766250554479,144.24132373262162,5.05342624461737,-0.05498196532130367,0.862910040814165,edge,level,rear_right,False,False,shared_miss,13.204965591430664,3.115701913833618,0.03166666666666667,0.04,6.2012305496302105,6.128078007679189,01_0.02_0.05,02_ge_0.45
413,412,20.00000039233502,1.789207011148417,248.77035773643965,-6.643698043884186,0.4932108646168209,-0.13693370563819754,mid,level,rear_left,False,False,shared_miss,7.8885416984558105,4.1062140464782715,0.13166666666666665,0.05,7.879214121131674,8.906194928213237,03_ge_0.10,02_ge_0.45
414,413,19.999999708466383,1.75356743302327,311.3787828706949,67.53589421271288,-0.5239884274267973,0.28062209898173424,mid,up,front_left,False,False,shared_miss,19.792951583862305,19.788522720336914,0.05037313432835821,0.056666666666666664,5.320786056193609,7.152437111736997,02_0.05_0.10,02_ge_0.45
415,414,20.000000749801387,1.9007596076044955,15.610563914602292,-64.73191805998339,0.08045429826326046,-0.5495677311213746,mid,down,front_right,False,False,shared_miss,19.990413665771484,19.99041175842285,0.0,0.0,0.009405348989093178,0.00968018479751751,00_lt_0.02,02_ge_0.45
416,415,19.9999999024634,1.8143216709230297,2.8358284944446943,76.05800700496752,-0.3361510351605444,0.5535975666804729,mid,up,front_right,False,False,shared_miss,19.774965286254883,19.752660751342773,0.06451612903225806,0.05,2.348474036896045,6.942233400463166,02_0.05_0.10,02_ge_0.45
417,416,19.99999933381712,1.5682619517623164,298.74660788657786,-71.95298004051935,0.7750430832998791,-0.2776207466607412,edge,down,front_left,False,False,shared_miss,12.681529998779297,9.134867668151855,0.08833333333333333,0.05,8.72484021316052,7.06245419148827,02_0.05_0.10,02_ge_0.45
418,417,19.999999821161964,1.639991005188209,261.5332494395043,0.5411438421212916,-0.693316293338074,0.14005891447348323,mid,level,rear_left,False,False,shared_miss,10.31882381439209,4.4273600578308105,0.15,0.043333333333333335,6.399649654365599,6.674997165251667,03_ge_0.10,02_ge_0.45
419,418,19.99999950382544,1.7487253484646414,156.8832810230966,-2.1200661150576345,0.24912765563029704,-0.8590040609509279,edge,level,rear_right,False,False,shared_miss,7.0316925048828125,5.548481464385986,0.12833333333333333,0.04833333333333333,8.948863833433693,6.967018470434098,03_ge_0.10,02_ge_0.45
420,419,19.999999530732595,1.6840572468162276,107.29777309271134,28.87160831071239,0.5316301117355963,-0.6191504629523151,mid,level,rear_right,False,False,shared_miss,15.024747848510742,6.521792411804199,0.07833333333333334,0.06333333333333334,4.394852051698897,7.471918177016993,02_0.05_0.10,02_ge_0.45
421,420,20.00000035345497,1.9553066218979218,216.8804308362541,-26.078153141469013,-0.07318546261861464,0.3502054867902762,mid,level,rear_left,False,False,shared_miss,6.883791923522949,2.65242338180542,0.10833333333333334,0.04666666666666667,9.640070785655253,9.371981574201799,03_ge_0.10,02_ge_0.45
422,421,19.999999580416308,1.9972571812406636,348.3237077268584,30.392796965485108,0.04768207851843948,-0.03774245632725629,center,up,front_left,False,False,shared_miss,18.5839900970459,6.846718788146973,0.06333333333333334,0.07333333333333333,3.89171809107419,7.441675039754228,02_0.05_0.10,02_ge_0.45
423,422,20.000000475986145,1.6636042515828455,47.501864672340794,-32.77651897279463,-0.5008833700955436,0.763719259609454,edge,down,front_right,False,False,shared_miss,8.846715927124023,3.400517702102661,0.15,0.028333333333333332,3.8964257553140484,8.875735174773562,03_ge_0.10,02_ge_0.45
424,423,19.999999127234467,1.9436005963622487,82.90220557774228,10.946204176169983,0.1628323574483707,0.31159432500829976,center,level,front_right,False,False,shared_miss,12.059799194335938,3.9005331993103027,0.065,0.06333333333333334,5.144226001728081,6.853125116443313,02_0.05_0.10,02_ge_0.45
425,424,19.999999896487065,1.659339414996898,332.616340239418,-13.453122613532582,-0.6107330862525734,-0.48913350038249104,mid,level,front_left,False,False,shared_miss,7.467836380004883,3.895005464553833,0.15,0.05333333333333334,2.82227813011609,9.576481758772102,03_ge_0.10,02_ge_0.45
426,425,20.00000017198547,1.5736690723789033,181.48008724262158,52.28599620927577,0.6362329736419037,0.7945433655656754,edge,up,rear_left,False,False,shared_miss,19.759090423583984,18.81732749938965,0.023333333333333334,0.025,4.133863446847785,5.9362670088219875,01_0.02_0.05,02_ge_0.45
427,426,19.99999934116305,1.9540622273422628,123.00513921333521,-49.123602797980425,-0.1935824776724093,-0.174035800053994,center,down,rear_right,False,False,shared_miss,4.999955177307129,2.2641849517822266,0.045,0.105,11.9905010320844,10.135307924649195,01_0.02_0.05,02_ge_0.45
428,427,20.00000032568851,1.5265680830573172,164.1531537341012,44.504970964302565,-0.8119555556954117,-0.41411677235053723,edge,up,rear_right,False,False,shared_miss,19.786911010742188,13.431257247924805,0.07,0.051666666666666666,5.753698295313045,7.4374326541755655,02_0.05_0.10,02_ge_0.45
429,428,19.9999999147653,1.7958354049166552,228.9454073253282,-46.07258887727715,0.35548846546081314,0.5846243229268102,mid,down,rear_left,False,False,shared_miss,6.787208080291748,3.5176706314086914,0.13833333333333334,0.08,4.748029698503499,9.451156120456387,03_ge_0.10,02_ge_0.45
430,429,19.999999326630647,1.7097161403088388,291.47673565719197,16.668037050517583,-0.4372116580040377,-0.7291964527412207,edge,level,front_left,False,False,shared_miss,11.06041431427002,5.679778099060059,0.15,0.05,3.2405541422355517,7.305124636308441,03_ge_0.10,02_ge_0.45
431,430,20.00000032179789,1.4859258878450983,35.42366648631631,-15.05609035947897,0.8989823771940835,0.10165717986393216,edge,level,front_right,False,False,shared_miss,9.749317169189453,3.440592050552368,0.15,0.056666666666666664,2.9627823395469695,8.21215783114634,03_ge_0.10,02_ge_0.45
432,431,20.000000463760035,1.7721549232621114,44.04715766928164,41.41413996913955,0.29277663586025215,0.7509011435102535,edge,up,front_right,False,False,shared_miss,19.685653686523438,13.44511604309082,0.02666666666666667,0.028333333333333332,3.5011849723160173,5.932486089584315,01_0.02_0.05,02_ge_0.45
433,432,20.000000129165187,1.612489558208066,282.8738316362661,-39.33616331667997,-0.7336457282664566,-0.021408790733042315,edge,down,front_left,False,False,shared_miss,6.21636962890625,4.839992523193359,0.10833333333333334,0.05,5.089017209974156,8.182318529892676,03_ge_0.10,02_ge_0.45
434,433,19.999999241707176,1.6038759683076094,231.5703752719284,18.98524822473587,0.7099277912645633,0.39099729466942296,edge,level,rear_left,False,False,shared_miss,14.520325660705566,7.846408367156982,0.05,0.03833333333333333,3.412718495993358,6.537553937163534,02_0.05_0.10,02_ge_0.45
435,434,19.999999836213053,1.8148455794017009,161.50485530034237,-20.190165710442052,-0.26024470367121577,-0.6634578858453551,mid,level,rear_right,False,False,shared_miss,6.0020833015441895,3.312248468399048,0.051666666666666666,0.06333333333333334,10.681054382339804,10.035640245155612,02_0.05_0.10,02_ge_0.45
436,435,19.99999934933636,1.6034688394662662,114.05052476708606,9.607198023257368,-0.5480325272795241,-0.8753408340150609,edge,level,rear_right,False,False,shared_miss,8.826833724975586,6.229028701782227,0.15,0.043333333333333335,6.260040773689039,7.1387649863121645,03_ge_0.10,02_ge_0.45
437,436,20.000000704428015,1.9852282261470842,190.45533000219805,-7.557962457531852,0.08453542505368455,0.15288010055271234,center,level,rear_left,False,False,shared_miss,3.8013081550598145,3.8752310276031494,0.10833333333333334,0.04833333333333333,9.69943145316776,8.849686695793189,03_ge_0.10,02_ge_0.45
438,437,19.99999993842723,1.9820786952956009,330.3194137170692,54.591932696077826,-0.004539139194057195,-0.23330961887098234,center,up,front_left,False,False,shared_miss,19.76062774658203,14.175644874572754,0.07333333333333333,0.07666666666666666,5.785148110696483,8.117595926982524,02_0.05_0.10,02_ge_0.45
439,438,20.000000184517038,1.7550664708619184,85.17576909658683,-59.117239711070766,0.4592788183345674,0.5128021524955693,mid,down,front_right,False,False,shared_miss,5.990767002105713,4.877806663513184,0.09333333333333334,0.09,5.61187220292701,9.159629580540182,02_0.05_0.10,02_ge_0.45
